"name","disposition","price","in stock"," picture filename"
"Tango / Primescan Lamps","New","$29.00",1,"AirfieldLamps.jpg"
"Mounting Tape","New",,,"tape-note.png"
"Mounting Foil Sheets (Mylar) [EU]","New",,, ,
"Mounting Foil Sheets (Mylar) [USA]","New",,, ,
"Mounting Fluid","New",,,"fluid-note.png"
